commit_hash,files_changed,lines_added,lines_deleted,message_length,label_bugfix
e84140aba2786655bbddcedb363d16de1e285441,1,39,11,33,0
c4cac0abc1a04710a25dcfc8d7f1b2de173546a8,3,124,10,31,0
395ff8120ccf055614d03db7d2360ab1182c7c10,1,2,2,9,1
e52f073e3e76a88e24a8a63eb5491dfc6e537a40,0,0,0,51,0
854e0e26d16408760072308c44b9160a9fb39abd,3,9,3,48,1
a5421c29acb6bfbd095dbeb4c8180a61bd1d4dab,1,15,0,32,0
cbcd15c3b55cfb05f1b27aa2343f909876f8d3d4,7,98,41,55,0
aa654128cf72e5a16a480eb59fc1ad551d39f5d9,1,36,0,16,0
664c64e0aafeb828911e97d31077c913ae2dd79a,0,0,0,51,0
cc8332e9d99c08b77614e5acd7bd0e6d08dc29b6,5,80,5,43,1
9d98ad5e079b88fd9da87e47d55a11e465ab6bb0,1,33,0,40,1
ef0dc1800f7558abbefe070f361b97b9161b2452,8,215,75,48,1
6c095deda51efb34cd18bd23411ebd6f2a0cdfe0,1,2,2,32,1
133920c83bf78db17631b637b8b2ffabcb26f3d4,1,1,1,17,1
7829e6ec98f9c84159dcb2aa9fb210b88d97dd33,1,1,1,99,0
9d19b77acf413de77b39ed1c6d972fb1e5fef1c3,15,147,3,82,1
58285b61fffa1113701686c6bcdbf54ef529e440,0,0,0,51,0
1264c458ae808d306aa03c51f70103e52dca107b,1,13,0,55,1
74d458b40c0bdb140e7feab9af407642eb3dcea1,1,2,0,29,0
8d356d7cda963e2fa6437c5a5fef035e13cc80c5,4,4,4,42,1
e432d833b5f7b4c27e2dca5d5125bbf78a46327d,1,0,1,19,1
68278fd78e15e3ef6a591f3f2b6cc700d1e4d6dd,1,39,11,33,0
4d16486132c349cdc7d473ef3c238dfa3f9d5385,3,124,10,31,0
35fd6eb22c4dec893770dd5720a51608a06fb8cd,2,40,31,48,0
672eaf7abf1452750688eeb4e294aca22cd3272a,0,0,0,123,0
99c6287ce2319224f3a188f75641a9443466ab85,3,5,5,23,0
78fc9949aa7055f2e14825cec3c28bc35c42700f,0,0,0,41,0
182ee31503ea8a9eefd0d7063bd7fbdde991e13b,5,183,8,26,0
02b916d509422a4703df5110110686288666d3d5,2,74,0,24,0
dfecc86dd315586bec8f5f0838195d03ba7165d3,17,122,39,56,0
ce6e4cbd73d57cb8c1bba85c46490f71061f865f,9,17,17,33,0
d29a9765a5b7014d3a52272f80ee90f4d98cf799,1,6,1,14,0
4ca1d0a2ed7639d3f1d2e466a777f7e6b0e8aa0a,1,1,1,15,0
6913dc173303de9534c32d716c22b7f371ab6303,1,1,0,29,0
6cb0855e2dd181df5353fc1be9b437c7bc92eb2f,3,29,1,58,1
9959ddd3da09f619d467891b194389851cf50367,1,0,5,24,0
dba42ae968a1cfa6cc6a3ead99ded554a710f041,1,1,0,21,0
8e4bcaf57630b5449999594063ffe8dc104e316a,2,10,1,19,1
63caf6e15882292832485372cd86b8265a007f92,1,3,3,15,1
a224fecfd57a77c3f7279102dcc0b332a6858065,9,24,24,16,1
7a4b6088395387abe4127c9650f9cbaac11a0ec4,2,34,1,53,1
50bca8c2d34b4b31ffcc98f6ced44b18de3c78b0,3,14,0,51,0
a6617f44c0416c6877d930b312e1f64df08eca0e,1,10,0,45,1
707b30749daf407c07b5b265bd892564576ad80a,2,10,2,33,1
ee69fb58906818f50a2afe71e4ecde7af96b791a,3,278,1,42,0
216472b43dbb2c2501ab7f8b3e5ae861a082db3f,1,1,1,35,1
33e7f2b990e3889d6aa9cffef4a4c9d7d0923698,2,45,0,58,1
b4d576bce249322605094525491ccba091704a35,0,0,0,51,0
937360877bd425543e06decd68a62e086b78bf6b,1,3,0,45,0
bc00fd1e83f23f57dd6a765b6a4bab2394584ae6,5,111,3,177,1
9983e847425621b5e474ae9da6822f1af0b0cc1f,3,51,24,89,1
1ffa295d933c7e0cd1ee14c1592c40f72b9f22bb,1,11,3,65,0
f904ef27d3d1f4e03972c34858787294c74c164f,1,1,1,72,1
12c2cb5e12895a0d16b37b7a9e9a96d69a34c36e,1,1,1,39,0
cc7876f97fbc787ac7702453bdc62541f8ea47f6,1,1,1,93,1
e67903d134039b2452b2a3806e10451491ce768d,1,1,1,55,1
e7a9df784c9edee7742052aadacc2389bf21230c,1,1,1,27,0
2fb09d07f29aaacac3afd6b64c997e761a292864,1,1,1,30,0
7dae84f0027945bac29b45b63fdc0f795a5a813a,1,12,11,394,0
88a031ab24b0e7e2a5190f9e48f80f2b21aba1a0,1,1,1,56,0
e3de5e6ca39e024874cb465c9047b65373d73b64,1,1,1,35,0
51a5add86d0fa9889b69d51d45d06a2ac4c5df9f,1,21,21,71,1
06ed3e1e8888b73794876d39a53382eb45a54fe2,1,1,1,59,0
f5fb4576577cbedcedba9eb16d9fdace18c9292c,3,12,0,36,1
ca0aa9533f7c3a925f1115581872793bdf34bb34,2,163,0,40,0
235d693bfc5633aae310ab3dc35e86c8892a0b2b,2,3,1,20,1
5a5a4a85bf1cfe783e7009d463aa16368dd5c92f,2,118,73,34,1
d02d01adaa5754ad694b3fee7e32aaa19a502054,1,1,1,18,1
1762ea5a2bee7539381c701c4d1534c4af9c2e37,2,2,2,19,1
54d22f1c5537c957ed555c20e6cd8198346289e5,1,1,1,41,1
9ecb9edc0644e9c40a0089d680783df5dbffb3d7,3,3,4,5,0
3e2a2114fd952b489515b63ca0cfa9899455583a,1,2,2,12,0
223d44dca8e28c95ffb841118b93b1d36bf9b092,0,0,0,51,0
41f5ad9b1539410507455db6df1424d1a7215b05,2,0,0,12,0
540eca16f8a5963a74298f3630523fd9ad49187a,4,9,9,87,1
33a035bb0ec07a4ca92f1397e7caeb7714c57bd6,3,138,1,23,0
52f38bbf8bee2f7b5aa4fe708dc304cb590d3a0b,1,2,2,23,1
20c2e53893c202a4555bd7390672ee948fa6b1e0,2,6,6,25,0
ea72e272a677365a60f1c412f91ebfac58ba13bb,1,1,1,22,1
f66c252e47c63d7961b8d2c00acdf5aed11eb851,1,1,1,4,0
