commit_hash,files_changed,lines_added,lines_deleted,message_length,label_bugfix,lines_changed,change_density,is_large_commit,is_small_commit
f878919753a909e45b2d5448aa175f4f9129ff24,1.0,1.0,1.0,24.0,0,2.0,2.0,0,0
3d320176813e87b8dccbbbc807133dfe6ce0bcde,1.0,38.0,0.0,67.0,0,38.0,38.0,0,0
07e515b071e32e1b22e9992cedabeb082a8cde6c,1.0,2.0,1.0,22.0,0,3.0,3.0,0,0
ade490514dd6d83adc7610f69f9c4cd68df47110,4.0,16.0,2.0,119.0,1,18.0,4.5,0,0
36f105c2932af842de5d18899783f33078415c7f,1.0,7.0,3.0,37.0,0,10.0,10.0,0,0
3088a9371e065808fd0091741f62bc242bcab1f9,2.0,33.0,3.0,126.0,1,36.0,18.0,0,0
5acc491c94262912baa30a4cffc780a46b7faf56,1.0,3.0,2.0,112.0,0,5.0,5.0,0,0
95750b3287bfa21fbb706f10a3a9fbcef01c089e,3.0,36.0,6.0,48.0,0,42.0,14.0,0,0
06ec917ddedc618944670b39ccd5f4cb862882b2,1.0,1.0,1.0,73.0,0,2.0,2.0,0,0
50a331307114a641d1d9447453f8fddc52fe680f,1.0,1.0,1.0,23.0,1,2.0,2.0,0,0
4ff9493e5765f3d2c2fd2dd1882791a75ad6fc68,1.0,1.0,1.0,20.0,0,2.0,2.0,0,0
a7ff9dbddd5f861463051601177442e98aae84bf,8.0,58.0,58.0,30.0,0,116.0,14.5,0,0
9f0b2429d638e54cb534b555c393d0770dfc1a8f,1.0,22.0,1.0,87.0,0,23.0,23.0,0,0
1404a85bc554f96bff5463e6eadb14662b945f2e,1.0,3.0,3.0,22.0,1,6.0,6.0,0,0
715f64d2afef0e5b9800f0e0fb0eb9c892e1573a,2.0,32.0,12.0,32.0,0,44.0,22.0,0,0
3a1e51865786474c44a04c0d422515047dd27223,5.0,47.0,11.0,59.0,1,58.0,11.6,0,0
268302fc68c35abd555a8c2d2755f14c96e1401d,1.0,1.0,1.0,24.0,0,2.0,2.0,0,0
9f6bc93e4de36fc209eb1203845e9505df1ca379,2.0,13.0,1.0,155.0,1,14.0,7.0,0,0
3c821a0fa45082bcec73dfb08662fb1de5263c48,6.0,15.0,14.0,35.0,1,29.0,4.833333333333333,0,0
75057bb4112d16acc7ed5dafce6a8168b343fd78,1.0,9.0,10.0,31.0,0,19.0,19.0,0,0
eae44e465b4bdd9440dbfa6e0c5bc45fd2c60ed8,1.0,2.0,2.0,14.0,0,4.0,4.0,0,0
af3b73f70d5fce72181530d384519ae31d77c772,1.0,5.0,9.0,16.0,0,14.0,14.0,0,0
3053fcdb0d6189ad1deca6fcfa16443dad4baf8c,3.0,37.0,17.0,87.0,0,54.0,18.0,0,0
f6b9efc1e9b94382b877c0d1ebe87956b78d012f,1.0,2.0,1.0,24.0,0,3.0,3.0,0,0
260b4dfe61cd35373eb4993453b500e1db71a753,3.0,35.0,2.0,41.0,0,37.0,12.333333333333334,0,0
00f87f679cdd63b642675d86d073882fb8b19430,2.0,3.0,16.0,59.0,0,19.0,9.5,0,0
9cf2ea2abc5243d50c87612714904c6cb033f7cc,1.0,1.0,0.0,27.0,0,1.0,1.0,0,0
5876a8fd96efa01958904ca0796eb4018222bf25,1.0,14.0,17.0,27.0,0,31.0,31.0,0,0
9d340ad7477774a19a7bdffc83d6cb8cb3e05edc,2.0,3.0,2.0,41.0,1,5.0,2.5,0,0
c0d3b6c3710025abb482b30d2f2b6e39a6934fa9,0.0,0.0,0.0,6.0,0,0.0,0.0,0,1
7cf5a9bf6e34fc57f82e560f01c408fbe603e9d4,1.0,3.0,7.0,68.0,0,10.0,10.0,0,0
b6e73305392c9de052e51cca6fae8fee12ae231e,2.0,14.0,2.0,60.0,0,16.0,8.0,0,0
f014ce29a7cd5a3ccfabd61e7d66e017ed958e25,2.0,3.0,2.0,41.0,1,5.0,2.5,0,0
3eacc1d06816b2544e0242665fe909b24b027b21,1.0,3.0,7.0,68.0,0,10.0,10.0,0,0
dbe0df756bf587b242f2406bef9e7e8ef26f0813,2.0,14.0,2.0,60.0,0,16.0,8.0,0,0
7e8019565f79e157fcc13cf285247070d69ef889,1.0,1.0,0.0,34.0,0,1.0,1.0,0,0
d73be4b709ab881ae15b9bd1064b16820f98a51b,0.0,0.0,0.0,28.0,0,0.0,0.0,0,1
3261357ba7f59e2eabeb96127b6253d1466b4db0,6.0,0.0,131.0,61.0,0,131.0,21.833333333333332,0,0
1cb75df8f1f9e7a768254fe2c9e2997f21152665,1.0,1.0,0.0,46.0,0,1.0,1.0,0,0
ebb07a06567d72acf47b3ee5553053216f978305,1.0,1.0,1.0,15.0,0,2.0,2.0,0,0
be15340e0f65e8785aff3033f0b2732ae31c6b81,1.0,5.0,0.0,36.0,0,5.0,5.0,0,0
dc3f13df54ba91649ecec2bdee6c24ca31a400a8,1.0,5.0,3.0,46.0,0,8.0,8.0,0,0
88f671aaaef334caf3231095b119cac094ff5ffb,1.0,42.0,0.0,19.0,0,42.0,42.0,0,0
a862ead5f22f9d4592c1c85bda285a4ded59b631,2.0,20.0,1.0,23.0,0,21.0,10.5,0,0
444e6425312a16589130ff36f2830b6f97fbbd4f,1.0,24.0,16.0,23.0,0,40.0,40.0,0,0
e0148a00c0f468784052926f80e8112be7686470,2.0,66.0,14.0,61.0,0,80.0,40.0,0,0
5c52fe980eda6065edcc39e6dd346636b1c40768,2.0,44.0,6.0,51.0,0,50.0,25.0,0,0
2f181e19496a1fe693d9b20260fe961bb406c53b,1.0,1.0,2.0,37.0,0,3.0,3.0,0,0
67f4b0f31538832f06b9351d15e30c85f449ac7e,2.0,96.0,73.0,135.0,0,169.0,84.5,0,0
c0a9f5d0c4f09dbe8b744609552cbbfa9f14fbc0,2.0,87.0,6.0,50.0,0,93.0,46.5,0,0
ef34638f5d24c07a5582cbb60755fd4dfbec9a79,2.0,22.0,9.0,62.0,1,31.0,15.5,0,0
5144d3b65a564c148e6ea12969303f58d137449b,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
0da39c76e3c67293aef2234b43aff8728d9002eb,2.0,129.0,0.0,29.0,0,129.0,64.5,0,0
0c54d0a0e5dfec25cd60329e09622d42905d0969,1.0,1.0,0.0,31.0,0,1.0,1.0,0,0
c21caa5047f966aa5f6a3d0e5e4611abd44ae861,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
85d43079d137c3f15e3ed7a9545ba2db92718194,1.0,158.0,0.0,36.0,0,158.0,158.0,0,0
58fa088abc0f0e511d934e822f917b796d418bb3,1.0,158.0,0.0,36.0,0,158.0,158.0,0,0
a9bb965b6dcd931cefdc7dd05fa4c672b5dff69c,2.0,48.0,0.0,45.0,0,48.0,24.0,0,0
5c9ef2c44dce5afc99a0b3b539ebaafe9b8ce3c5,2.0,4.0,17.0,47.0,0,21.0,10.5,0,0
4395e9493cc33d49b53889f9f726458f05f1a475,2.0,24.0,0.0,51.0,0,24.0,12.0,0,0
36e24299e35cd0c6a593d9eea3130a7737a15eea,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
3ac4ec670c881668aaedb2c3937bae5e10984988,6.0,130.0,57.0,59.0,0,187.0,31.166666666666668,1,0
d22428bc8e8c3cf5e6006497cb8164decde31924,1.0,4.0,1.0,51.0,0,5.0,5.0,0,0
606b006e2391d12fec5313ce606d82463d7aad07,4.0,5.0,3.0,51.0,1,8.0,2.0,0,0
f419937d2c5f2db16a8157a0a061b92c38876649,1.0,11.0,9.0,22.0,0,20.0,20.0,0,0
41de12984495198423cbce73ac059ccee0fbfd30,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
4559e4f0f14272fb4fb31f3bf79bf592a9f781df,3.0,164.0,0.0,37.0,0,164.0,54.666666666666664,0,0
13933eeaf8b6c7685aaf1c769efe97763d64ea0d,0.0,0.0,0.0,41.0,0,0.0,0.0,0,1
2ba88eefb54f76fc974181babac07ffc7c1f7e73,1.0,1.0,1.0,17.0,1,2.0,2.0,0,0
36717b02731ad7d86ba8effbe27e70405e48cd9b,4.0,62.0,5.0,58.0,0,67.0,16.75,0,0
31493850de3d7765d09419aa49b98089f79da3c2,1.0,1.0,1.0,51.0,1,2.0,2.0,0,0
f1603d33f266ab24eda604f76632fa604b91e3f9,2.0,10.0,1.0,44.0,1,11.0,5.5,0,0
a9284afde97c30d136e8ec675794c7cdcf4ca277,1.0,4.0,5.0,39.0,1,9.0,9.0,0,0
8d49440d8b881b2df2c10085a58d3a4e4085147e,1.0,19.0,0.0,76.0,1,19.0,19.0,0,0
a7266ffb90d109f94da96e9eea5f5bb4ff8ddc71,1.0,49.0,0.0,43.0,0,49.0,49.0,0,0
eeb0e949518720ff5302bcf336fc72dea44737d0,0.0,0.0,0.0,21.0,1,0.0,0.0,0,1
7e1db5978c3c7aedcb43d7e2036edc85b0a22a6b,1.0,6.0,5.0,44.0,0,11.0,11.0,0,0
